Date,ID,Name,Distance (Km),Duration (HH:mm),Over speeding,Over RPM,Idle time,Acceleration,Deceleration,Total,Ranking,Target Variable
3/31/2022,0,ByPass ,56980.3,2444:34:00,93,99,46,99,100,88,40,Good
4/30/2022,0,ByPass ,90188.6,3123:01:00,89,98,36,99,99,85,97,Good
5/31/2022,0,ByPass ,50950.2,2413:57:00,91,100,41,99,100,87,53,Good
12/31/2022,0,ByPass ,72989.9,2860:46:00,97,100,49,100,100,90,50,Good
1/31/2023,0,ByPass ,109004.1,3856:26:00,92,99,59,100,100,90,40,Good
4/30/2023,0,ByPass ,54792.1,2630:46:00,96,99,54,100,98,90,47,Good
8/31/2023,0,ByPass ,52564.7,2394:51:00,96,100,53,100,100,90,24,Good
10/31/2023,0,ByPass ,56424.8,2561:49:00,98,99,56,100,100,92,17,Good
11/30/2023,0,ByPass ,119902.5,3958:48:00,98,100,64,100,100,93,10,Good
12/31/2023,0,ByPass ,109578.2,3696:23:00,94,100,44,98,99,88,39,Good
1/31/2024,0,ByPass ,80433.1,2872:39:00,91,100,53,99,99,88,42,Good
